"","season","player_id","offense","receiving"
"696",2020,97288,64.4,64.3
"697",2021,97288,67,67.7
"698",2022,97288,74.1,77
"699",2020,97293,56.1,56.6
"700",2021,97293,56.6,56.8
"701",2020,97398,59.2,60.8
"702",2021,97398,46,46.2
"703",2022,97398,50.3,50.1
"704",2020,97402,67.1,67.1
"705",2021,97402,66.4,66.7
"706",2022,97402,64.1,63.8
"707",2020,97422,57.2,58
"708",2021,97422,48,49
"709",2022,97422,61,61.7
"710",2020,97431,48.7,46.4
"711",2021,97431,58.3,59.6
"712",2022,97431,61.4,62
"713",2020,97593,57.3,57.2
"714",2021,97593,55.9,54.6
"715",2020,97602,70.5,64.2
"716",2021,97602,68,66.5
"717",2022,97602,81,74.2
"718",2021,97612,51.3,53.1
"719",2020,97776,52.6,54.2
"720",2021,97776,64.6,66
"721",2022,97776,66.2,66.4
"722",2022,97779,71.9,74.7
"723",2021,97785,52.8,54.5
"724",2022,97785,48.2,48.4
"725",2020,97791,65,65.7
"726",2021,97791,62.4,61.6
"727",2022,97791,66.2,70.6
"728",2020,97800,58.3,56.7
"729",2021,97800,55.1,52.6
"730",2022,97800,58.8,58.8
"731",2020,97855,62.3,62.7
"732",2021,97855,58.8,59.4
"733",2022,97855,62.4,62
"734",2020,97867,72.5,72.1
"735",2021,97867,64.4,64.2
"736",2022,97867,56.8,54.9
"737",2020,98023,72.5,76
"738",2021,98023,60.5,56.8
"739",2022,98023,62.4,61.2
"740",2020,98212,55,55.6
"741",2021,98212,73.9,60
"742",2022,98212,86.1,41.5
"743",2020,98556,55.3,55.3
"744",2021,98556,67.6,66.4
"745",2022,98556,56.6,60.5
"746",2020,98706,57.5,57.6
"747",2021,98706,62.4,61.8
"748",2022,98706,56.6,54.5
"749",2020,98733,55.5,53.9
"750",2021,98733,62.9,60.6
"751",2020,98740,64.6,67.5
"752",2021,98740,54.5,52.4
"753",2020,98748,49.7,48.1
"754",2021,98748,77.6,74.9
"755",2022,98748,67.2,67.2
"756",2020,98750,56.3,55.8
"757",2021,98750,54.6,55.5
"758",2021,98847,70.2,70.3
"759",2022,98847,60,60.3
"760",2022,99130,47.3,57.4
"761",2020,99198,51.8,51.7
"762",2021,99198,64,61.2
"763",2022,99198,60.9,62.5
"764",2020,99206,59.7,57.9
"765",2021,99206,54.8,54.3
"766",2022,99206,63,62.5
"767",2021,99209,80.3,82.3
"768",2022,99209,63,64.2
"769",2021,99214,62.8,63.8
"770",2020,99222,52.2,51.6
"771",2021,99222,71.3,64.4
"772",2022,99222,57.7,55.8
"773",2022,99233,55.3,56.7
"774",2020,99245,56.7,57.1
"775",2021,99245,59.7,60.1
"776",2020,99248,59.7,58.6
"777",2021,99248,59.3,56.7
"778",2022,99248,83.7,83.6
"779",2020,99527,58,55.3
"780",2021,99527,58.8,57.7
"781",2022,99527,69.6,69.7
"782",2020,99531,57.3,56.1
"783",2021,99531,54.7,54.1
"784",2022,99531,59.6,59.5
"785",2020,99534,47.7,56.3
"786",2022,99534,69.9,68.9
"787",2020,99552,53.7,55.7
"788",2021,99552,67,66.7
"789",2022,99552,61.1,56.9
"790",2020,99555,55.7,57.3
"791",2021,99555,68.4,64.8
"792",2022,99555,63.4,63
"793",2020,99564,57,56.7
"794",2021,99564,58.4,58.3
"795",2022,99564,54,52.4
"796",2020,99571,65.4,63.2
"797",2021,99571,51.4,53.1
"798",2022,99571,58.5,59.4
"799",2020,99584,64.2,66
"800",2021,99584,59.3,58.5
"801",2022,99584,60.7,60
"802",2020,99693,70.8,72.9
"803",2021,99693,71.9,71.3
"804",2022,99693,69.5,68.6
"805",2021,99714,81.6,87
"806",2022,99714,47.3,48.5
"807",2020,100230,86.7,83.4
"808",2021,100230,59.1,60
"809",2022,100230,83.3,81.1
"810",2020,100275,61.5,61.1
"811",2021,100275,74.6,75.1
"812",2022,100275,61.7,64
"813",2020,100632,66.2,63.6
"814",2021,100632,84.2,83.3
"815",2022,100632,89.8,90.1
"816",2022,100635,58.3,58.4
"817",2022,100636,53.3,55.2
"818",2022,100642,51.4,53
"819",2020,100644,70.8,68.7
"820",2021,100644,56.3,58.9
"821",2022,100644,65.8,65.9
"822",2020,100647,65.4,65
"823",2021,100647,68,67.9
"824",2020,100660,77.8,69.8
"825",2021,100660,67.5,65.6
"826",2022,100660,80.3,79.6
"827",2020,100867,59,59.9
"828",2021,100867,64.1,63.6
"829",2022,100867,54.3,53.2
"830",2020,100886,55.4,54.7
"831",2021,100886,62.2,62
"832",2022,100886,78.7,78.5
"833",2020,100890,45.5,47
"834",2021,100890,80.9,82.1
"835",2022,100890,72.8,71.9
"836",2020,100894,78,77.8
"837",2021,100894,90.3,90
"838",2022,100894,79,80
"839",2020,101111,60.1,60.3
"840",2021,101111,38.7,45.1
"841",2022,101111,50.3,49.8
